"","ID","ti","W1","W2","EY1_1","EY1_2","EY1_3","EY1_4","EY1_5","EY0_1","EY0_2","EY0_3","EY0_4","EY0_5"
"611",123,9,2,117,0.526684426825782,0.558081550517301,0.565257541047349,0.571529052349429,0.588952043013077,0.585215102994486,0.619587376553474,0.612957998622491,0.604585163103158,0.60510956925465
"616",124,9,2,365,0.585837347980104,0.626478560386403,0.616605535395602,0.631418666691948,0.647449036517106,0.624024550416889,0.62426408584425,0.65442934855346,0.672216042599252,0.678496710339457
"621",125,9,3,148,0.500743203166048,0.501032240923648,0.49503765553422,0.507501261496668,0.504090443416888,0.341533207823624,0.426728121682032,0.465181991659834,0.498764417997989,0.529179437376747
"626",126,9,2,141,0.532469149713966,0.564842851314559,0.570307404563134,0.577448217646506,0.594754387666255,0.589025918403879,0.620040948199515,0.617054990561855,0.611357441027504,0.612486399325022
"631",127,9,3,126,0.521100140660201,0.523295917891208,0.517451022823707,0.531584435608186,0.52949542668376,0.295251684232843,0.388891128469144,0.427696672430869,0.459728986645998,0.488045289272001
"636",128,9,3,329,0.339086413622255,0.325391418520807,0.31914750283302,0.317796796233677,0.305590034435351,0.750337043365743,0.729979101594071,0.75195181806303,0.782884389335895,0.813316447660463
"641",129,9,2,159,0.536802056191882,0.569898186148784,0.574085282055784,0.581873137741958,0.599088934251575,0.591877063018985,0.620380989453039,0.620116893134544,0.616408741075251,0.617985569800815
"646",130,9,2,205,0.547848306415895,0.582748989794879,0.583699671217477,0.593120009172105,0.610094483813712,0.599134871508566,0.621249446224426,0.627897956838066,0.629201816162515,0.631899570272858
"651",131,9,2,195,0.545450573760217,0.57996425294037,0.581614731955273,0.590682895874431,0.607711070891196,0.59756066401217,0.621060717168671,0.626211893832744,0.626435395360471,0.628892507878585
"656",132,9,3,28,0.61002034601933,0.620165361098349,0.615224492991966,0.635611027727486,0.63908586432425,0.139283784134571,0.240437523085603,0.275426219014752,0.297646192314987,0.314019148673399
"661",133,9,3,29,0.609138932042033,0.619210640605661,0.614259043783599,0.634594512237675,0.638018329174178,0.140451517978792,0.241741254002753,0.276804969901108,0.299135374363254,0.315633824303406
"666",134,9,2,365,0.585837347980104,0.626478560386403,0.616605535395602,0.631418666691948,0.647449036517106,0.624024550416889,0.62426408584425,0.65442934855346,0.672216042599252,0.678496710339457
"671",135,9,2,139,0.531987401143795,0.564280294222578,0.569887126020152,0.576955778026799,0.594271844860705,0.588708751417498,0.620003158556512,0.616714200112351,0.610794684163559,0.611873578618186
"676",136,9,1,306,0.504385311548851,0.580214523999494,0.636234522022088,0.680363889550829,0.702929027588408,0.548863947745357,0.61069595846592,0.644150800364915,0.636502843066901,0.62153007149406
"681",137,9,2,294,0.569077829175759,0.607282025923411,0.602115866313887,0.614596117524138,0.631064155678564,0.613051898593053,0.622927512149539,0.642763049252498,0.653433280387564,0.658190024976962
"686",138,9,1,175,0.589043585493363,0.583780804419335,0.567219902861734,0.559176214223762,0.568027607028509,0.533828252665966,0.557259967161439,0.559433811090071,0.551228164037335,0.547205066890764
"691",139,9,2,356,0.583723026384493,0.62406573986957,0.614779653626415,0.629302883698587,0.645390247227474,0.622640414890882,0.624094765255355,0.652960422564822,0.669863900471538,0.675957689223715
"696",140,9,3,126,0.521100140660201,0.523295917891208,0.517451022823707,0.531584435608186,0.52949542668376,0.295251684232843,0.388891128469144,0.427696672430869,0.459728986645998,0.488045289272001
"701",141,9,1,310,0.501771131685687,0.580105496029304,0.638271144303604,0.683791219047458,0.706661196206817,0.549321793130669,0.612293214388077,0.646628519534673,0.639004124717614,0.623730194886385
"706",142,9,2,322,0.575708365093003,0.614895812288784,0.607853048131738,0.621265624411512,0.637564397561121,0.617393548856456,0.623454836229042,0.647384992995557,0.660901792675847,0.666272896037096
"711",143,9,3,356,0.317049660984709,0.301854780790522,0.295721203145467,0.292691897144068,0.279750145863883,0.796163547854153,0.766187452908797,0.785042342816169,0.813757477946099,0.842083229242071
